x,t=15s,t=30s,t=60s,t=90s,t=150s,t=210s
0.00074,42.8173,49.8847,55.6317,57.2567,57.846,57.8931
0.000744,42.8143,49.8817,55.6287,57.2537,57.843,57.8902
0.000748,42.8113,49.8788,55.6258,57.2507,57.8401,57.8872
0.000752,42.8083,49.8758,55.6228,57.2477,57.8371,57.8842
0.000756,42.8054,49.8728,55.6198,57.2448,57.8341,57.8812
0.00076,42.8024,49.8698,55.6169,57.2418,57.8311,57.8783
0.000764,42.7994,49.8669,55.6139,57.2388,57.8282,57.8753
0.000768,42.7964,49.8639,55.6109,57.2358,57.8252,57.8723
0.000772,42.7935,49.8609,55.6079,57.2329,57.8222,57.8693
0.000776,42.7905,49.858,55.605,57.2299,57.8193,57.8664
0.00078,42.7875,49.855,55.602,57.2269,57.8163,57.8634
0.000784,42.7846,49.852,55.599,57.224,57.8133,57.8604
0.000788,42.7816,49.849,55.5961,57.221,57.8103,57.8575
0.000792,42.7786,49.8461,55.5931,57.218,57.8074,57.8545
0.000796,42.7757,49.8431,55.5901,57.2151,57.8044,57.8515
0.0008,42.7727,49.8401,55.5871,57.2121,57.8014,57.8486
0.000804,42.7697,49.8372,55.5842,57.2091,57.7985,57.8456
0.000808,42.7667,49.8342,55.5812,57.2062,57.7955,57.8426
0.000812,42.7638,49.8312,55.5782,57.2032,57.7925,57.8397
0.000816,42.7608,49.8283,55.5753,57.2002,57.7896,57.8367
0.00082,42.7578,49.8253,55.5723,57.1972,57.7866,57.8337
0.000824,42.7549,49.8223,55.5693,57.1943,57.7836,57.8308
0.000828,42.7519,49.8194,55.5664,57.1913,57.7807,57.8278
0.000832,42.749,49.8164,55.5634,57.1884,57.7777,57.8248
0.000836,42.746,49.8134,55.5604,57.1854,57.7747,57.8219
0.00084,42.743,49.8105,55.5575,57.1824,57.7718,57.8189
0.000844,42.7401,49.8075,55.5545,57.1795,57.7688,57.8159
0.000848,42.7371,49.8045,55.5516,57.1765,57.7658,57.813
0.000852,42.7341,49.8016,55.5486,57.1735,57.7629,57.81
0.000856,42.7312,49.7986,55.5456,57.1706,57.7599,57.807
0.00086,42.7282,49.7957,55.5427,57.1676,57.757,57.8041
0.000864,42.7252,49.7927,55.5397,57.1646,57.754,57.8011
0.000868,42.7223,49.7897,55.5367,57.1617,57.751,57.7981
0.000872,42.7193,49.7868,55.5338,57.1587,57.7481,57.7952
0.000876,42.7164,49.7838,55.5308,57.1558,57.7451,57.7922
0.00088,42.7134,49.7808,55.5279,57.1528,57.7421,57.7893
0.000884,42.7104,49.7779,55.5249,57.1498,57.7392,57.7863
0.000888,42.7075,49.7749,55.5219,57.1469,57.7362,57.7833
0.000892,42.7045,49.772,55.519,57.1439,57.7333,57.7804
0.000896,42.7016,49.769,55.516,57.141,57.7303,57.7774
0.0009,42.6986,49.766,55.5131,57.138,57.7273,57.7745
0.000904,42.6956,49.7631,55.5101,57.135,57.7244,57.7715
0.000908,42.6927,49.7601,55.5071,57.1321,57.7214,57.7685
0.000912,42.6897,49.7572,55.5042,57.1291,57.7185,57.7656
0.000916,42.6868,49.7542,55.5012,57.1262,57.7155,57.7626
0.00092,42.6838,49.7513,55.4983,57.1232,57.7126,57.7597
0.000924,42.6809,49.7483,55.4953,57.1203,57.7096,57.7567
0.000928,42.6779,49.7453,55.4924,57.1173,57.7066,57.7538
0.000932,42.6749,49.7424,55.4894,57.1143,57.7037,57.7508
0.000936,42.672,49.7394,55.4864,57.1114,57.7007,57.7479
0.00094,42.669,49.7365,55.4835,57.1084,57.6978,57.7449
0.000944,42.6661,49.7335,55.4805,57.1055,57.6948,57.7419
0.000948,42.6631,49.7306,55.4776,57.1025,57.6919,57.739
0.000952,42.6602,49.7276,55.4746,57.0996,57.6889,57.736
0.000956,42.6572,49.7247,55.4717,57.0966,57.686,57.7331
0.00096,42.6543,49.7217,55.4687,57.0937,57.683,57.7301
0.000964,42.6513,49.7188,55.4658,57.0907,57.6801,57.7272
0.000968,42.6484,49.7158,55.4628,57.0878,57.6771,57.7242
0.000972,42.6454,49.7129,55.4599,57.0848,57.6742,57.7213
0.000976,42.6425,49.7099,55.4569,57.0819,57.6712,57.7183
0.00098,42.6395,49.707,55.454,57.0789,57.6683,57.7154
0.000984,42.6366,49.704,55.451,57.076,57.6653,57.7124
0.000988,42.6336,49.7011,55.4481,57.073,57.6624,57.7095
0.000992,42.6307,49.6981,55.4451,57.0701,57.6594,57.7065
0.000996,42.6277,49.6952,55.4422,57.0671,57.6565,57.7036
0.001,42.6248,49.6922,55.4392,57.0642,57.6535,57.7006
0.001004,42.6218,49.6893,55.4363,57.0612,57.6506,57.6977
0.001008,42.6189,49.6863,55.4333,57.0583,57.6476,57.6947
0.001012,42.6159,49.6834,55.4304,57.0553,57.6447,57.6918
0.001016,42.613,49.6804,55.4274,57.0524,57.6417,57.6888
0.00102,42.61,49.6775,55.4245,57.0494,57.6388,57.6859
0.001024,42.6071,49.6745,55.4215,57.0465,57.6358,57.6829
0.001028,42.6041,49.6716,55.4186,57.0435,57.6329,57.68
0.001032,42.6012,49.6686,55.4156,57.0406,57.6299,57.677
0.001036,42.5982,49.6657,55.4127,57.0376,57.627,57.6741
0.00104,42.5953,49.6627,55.4098,57.0347,57.624,57.6712
0.001044,42.5924,49.6598,55.4068,57.0317,57.6211,57.6682
0.001048,42.5894,49.6569,55.4039,57.0288,57.6182,57.6653
0.001052,42.5865,49.6539,55.4009,57.0259,57.6152,57.6623
0.001056,42.5835,49.651,55.398,57.0229,57.6123,57.6594
0.00106,42.5806,49.648,55.395,57.02,57.6093,57.6564
0.001064,42.5776,49.6451,55.3921,57.017,57.6064,57.6535
0.001068,42.5747,49.6421,55.3891,57.0141,57.6034,57.6506
0.001072,42.5718,49.6392,55.3862,57.0111,57.6005,57.6476
0.001076,42.5688,49.6363,55.3833,57.0082,57.5976,57.6447
0.00108,42.5659,49.6333,55.3803,57.0053,57.5946,57.6417
0.001084,42.5629,49.6304,55.3774,57.0023,57.5917,57.6388
0.001088,42.56,49.6274,55.3744,56.9994,57.5887,57.6358
0.001092,42.5571,49.6245,55.3715,56.9964,57.5858,57.6329
0.001096,42.5541,49.6216,55.3686,56.9935,57.5829,57.63
0.0011,42.5512,49.6186,55.3656,56.9906,57.5799,57.627
0.001104,42.5482,49.6157,55.3627,56.9876,57.577,57.6241
0.001108,42.5453,49.6127,55.3597,56.9847,57.574,57.6212
0.001112,42.5424,49.6098,55.3568,56.9817,57.5711,57.6182
0.001116,42.5394,49.6069,55.3539,56.9788,57.5682,57.6153
0.00112,42.5365,49.6039,55.3509,56.9759,57.5652,57.6123
0.001124,42.5336,49.601,55.348,56.9729,57.5623,57.6094
0.001128,42.5306,49.5981,55.3451,56.97,57.5594,57.6065
0.001132,42.5277,49.5951,55.3421,56.9671,57.5564,57.6035
0.001136,42.5248,49.5922,55.3392,56.9641,57.5535,57.6006
0.00114,42.5218,49.5892,55.3363,56.9612,57.5505,57.5977
0.001144,42.5189,49.5863,55.3333,56.9583,57.5476,57.5947
0.001148,42.5159,49.5834,55.3304,56.9553,57.5447,57.5918
0.001152,42.513,49.5804,55.3275,56.9524,57.5417,57.5889
0.001156,42.5101,49.5775,55.3245,56.9495,57.5388,57.5859
0.00116,42.5071,49.5746,55.3216,56.9465,57.5359,57.583
0.001164,42.5042,49.5716,55.3187,56.9436,57.5329,57.5801
0.001168,42.5013,49.5687,55.3157,56.9407,57.53,57.5771
0.001172,42.4984,49.5658,55.3128,56.9377,57.5271,57.5742
0.001176,42.4954,49.5629,55.3099,56.9348,57.5241,57.5713
0.00118,42.4925,49.5599,55.3069,56.9319,57.5212,57.5683
0.001184,42.4896,49.557,55.304,56.9289,57.5183,57.5654
0.001188,42.4866,49.5541,55.3011,56.926,57.5154,57.5625
0.001192,42.4837,49.5511,55.2981,56.9231,57.5124,57.5595
0.001196,42.4808,49.5482,55.2952,56.9201,57.5095,57.5566
0.0012,42.4778,49.5453,55.2923,56.9172,57.5066,57.5537
0.001204,42.4749,49.5423,55.2894,56.9143,57.5036,57.5508
0.001208,42.472,49.5394,55.2864,56.9114,57.5007,57.5478
0.001212,42.4691,49.5365,55.2835,56.9084,57.4978,57.5449
0.001216,42.4661,49.5336,55.2806,56.9055,57.4949,57.542
0.00122,42.4632,49.5306,55.2776,56.9026,57.4919,57.539
0.001224,42.4603,49.5277,55.2747,56.8997,57.489,57.5361
0.001228,42.4574,49.5248,55.2718,56.8967,57.4861,57.5332
0.001232,42.4544,49.5219,55.2689,56.8938,57.4832,57.5303
0.001236,42.4515,49.5189,55.2659,56.8909,57.4802,57.5273
0.00124,42.4486,49.516,55.263,56.8879,57.4773,57.5244
0.001244,42.4457,49.5131,55.2601,56.885,57.4744,57.5215
0.001248,42.4427,49.5102,55.2572,56.8821,57.4715,57.5186
0.001252,42.4398,49.5072,55.2542,56.8792,57.4685,57.5156
0.001256,42.4369,49.5043,55.2513,56.8763,57.4656,57.5127
0.00126,42.434,49.5014,55.2484,56.8733,57.4627,57.5098
0.001264,42.431,49.4985,55.2455,56.8704,57.4598,57.5069
0.001268,42.4281,49.4955,55.2425,56.8675,57.4568,57.504
0.001272,42.4252,49.4926,55.2396,56.8646,57.4539,57.501
0.001276,42.4223,49.4897,55.2367,56.8616,57.451,57.4981
0.00128,42.4194,49.4868,55.2338,56.8587,57.4481,57.4952
0.001284,42.4164,49.4839,55.2309,56.8558,57.4452,57.4923
0.001288,42.4135,49.4809,55.2279,56.8529,57.4422,57.4893
0.001292,42.4106,49.478,55.225,56.85,57.4393,57.4864
0.001296,42.4077,49.4751,55.2221,56.847,57.4364,57.4835
0.0013,42.4048,49.4722,55.2192,56.8441,57.4335,57.4806
0.001304,42.4018,49.4693,55.2163,56.8412,57.4306,57.4777
0.001308,42.3989,49.4663,55.2133,56.8383,57.4276,57.4748
0.001312,42.396,49.4634,55.2104,56.8354,57.4247,57.4718
0.001316,42.3931,49.4605,55.2075,56.8324,57.4218,57.4689
0.00132,42.3902,49.4576,55.2046,56.8295,57.4189,57.466
0.001324,42.3873,49.4547,55.2017,56.8266,57.416,57.4631
0.001328,42.3843,49.4517,55.1988,56.8237,57.413,57.4602
0.001332,42.3814,49.4488,55.1958,56.8208,57.4101,57.4572
0.001336,42.3785,49.4459,55.1929,56.8179,57.4072,57.4543
0.00134,42.3756,49.443,55.19,56.8149,57.4043,57.4514
0.001344,42.3727,49.4401,55.1871,56.812,57.4014,57.4485
